event,raw_transition_index_0based,edge,time_s,relative_us,rise_index_0based
1,2991358,rising,15.717303182,-14.520000000572963,1495679
1,2991359,falling,15.717303542,-14.160000000984496,1495679
1,2991360,rising,15.717304392,-13.309999999933098,1495680
1,2991361,falling,15.717304752,-12.95000000034463,1495680
1,2991362,rising,15.717305604,-12.098000000904108,1495681
1,2991363,falling,15.717305962,-11.740000001481121,1495681
1,2991364,rising,15.717306814,-10.888000000264242,1495682
1,2991365,falling,15.717307172,-10.530000000841255,1495682
1,2991366,rising,15.717308024,-9.678000001400733,1495683
1,2991367,falling,15.717308382,-9.32000000020139,1495683
1,2991368,rising,15.717309234,-8.468000000760867,1495684
1,2991369,falling,15.717309592,-8.11000000133788,1495684
1,2991370,rising,15.717310442,-7.260000000286482,1495685
1,2991371,falling,15.717310802,-6.9000000006980144,1495685
1,2991372,rising,15.717311652,-6.050000001422973,1495686
1,2991373,falling,15.717312012,-5.6900000000581485,1495686
1,2991374,rising,15.717312862,-4.840000000783107,1495687
1,2991375,falling,15.717313222,-4.4800000011946395,1495687
1,2991376,rising,15.717314072,-3.630000000143241,1495688
1,2991377,falling,15.717314432,-3.2700000005547736,1495688
1,2991378,rising,15.717315282,-2.420000001279732,1495689
1,2991379,falling,15.71731564,-2.0620000000803884,1495689
1,2991380,rising,15.717316492,-1.210000000639866,1495690
1,2991381,falling,15.717316852,-0.8500000010513986,1495690
1,2991382,rising,15.717317702,0.0,1495691
1,2991383,falling,15.717318272,0.5699999992003768,1495691
1,2991384,rising,15.717318912,1.209999998863509,1495692
1,2991385,falling,15.71731927,1.5680000000628525,1495692
1,2991386,rising,15.717320232,2.5299999997230316,1495693
1,2991387,falling,15.71732048,2.7779999989263615,1495693
1,2991388,rising,15.717321332,3.629999998366884,1495694
1,2991389,falling,15.717321692,3.989999999731708,1495694
1,2991390,rising,15.717322542,4.83999999900675,1495695
1,2991391,falling,15.717322902,5.199999998595217,1495695
1,2991392,rising,15.717323752,6.049999999646616,1495696
1,2991393,falling,15.71732411,6.407999999069602,1495696
1,2991394,rising,15.717324962,7.259999998510125,1495697
1,2991395,falling,15.71732532,7.617999999709468,1495697
1,2991396,rising,15.717326172,8.46999999914999,1495698
1,2991397,falling,15.717326529999998,8.82799999679662,1495698
1,2991398,rising,15.717327382,9.679999999789857,1495699
1,2991399,falling,15.71732774,10.037999999212843,1495699
1,2991400,rising,15.717328592,10.889999998653366,1495700
1,2991401,falling,15.71732895,11.24799999985271,1495700
1,2991402,rising,15.717329802,12.099999999293232,1495701
1,2991403,falling,15.71733016,12.457999998716218,1495701
1,2991404,rising,15.71733101,13.307999999767617,1495702
1,2991405,falling,15.71733137,13.667999999356084,1495702
1,2991406,rising,15.71733222,14.517999998631126,1495703
1,2991407,falling,15.71733258,14.87799999999595,1495703
1,2991408,rising,15.717333432,15.729999999436473,1495704
1,2991409,falling,15.71733379,16.08799999885946,1495704
2,5164568,rising,27.09465591,-14.518000000407483,2582284
2,5164569,falling,27.094656268,-14.15999999920814,2582284
2,5164570,rising,27.09465712,-13.307999999767617,2582285
2,5164571,falling,27.094657478,-12.950000002120987,2582285
2,5164572,rising,27.09465833,-12.097999999127751,2582286
2,5164573,falling,27.094658688,-11.740000001481121,2582286
2,5164574,rising,27.09465954,-10.888000002040599,2582287
2,5164575,falling,27.094659898,-10.530000000841255,2582287
2,5164576,rising,27.09466075,-9.678000001400733,2582288
2,5164577,falling,27.09466111,-9.318000000035909,2582288
2,5164578,rising,27.09466196,-8.468000000760867,2582289
2,5164579,falling,27.09466232,-8.107999999396043,2582289
2,5164580,rising,27.09466317,-7.258000000121001,2582290
2,5164581,falling,27.094663528,-6.899999998921658,2582290
2,5164582,rising,27.094664378,-6.049999999646616,2582291
2,5164583,falling,27.094664738,-5.690000001834505,2582291
2,5164584,rising,27.094665588,-4.83999999900675,2582292
2,5164585,falling,27.094665948,-4.4800000011946395,2582292
2,5164586,rising,27.094666798,-3.6300000019195977,2582293
2,5164587,falling,27.094667158,-3.2700000005547736,2582293
2,5164588,rising,27.09466801,-2.418000001114251,2582294
2,5164589,falling,27.094668368,-2.0599999999149077,2582294
2,5164590,rising,27.094669218,-1.210000000639866,2582295
2,5164591,falling,27.094669578,-0.8499999992750418,2582295
2,5164592,rising,27.094670428,0.0,2582296
2,5164593,falling,27.094670788,0.35999999781211045,2582296
2,5164594,rising,27.09467168,1.2520000005622478,2582297
2,5164595,falling,27.094671998,1.5699999984519764,2582297
2,5164596,rising,27.09467285,2.421999997892499,2582298
2,5164597,falling,27.094673208,2.7799999990918423,2582298
2,5164598,rising,27.09467406,3.6319999985323648,2582299
2,5164599,falling,27.094674418,3.989999999731708,2582299
2,5164600,rising,27.094675268,4.83999999900675,2582300
2,5164601,falling,27.094675626,5.198000000206093,2582300
2,5164602,rising,27.094676478,6.049999999646616,2582301
