event,rise_index_0based,symbol_offset,rise_s,fall_s,high_ns,low_ns,period_ns,expected_bit,software_threshold_bit,rise_phase_ns,fall_phase_ns,frame_1based,frame_start_s,pixel_1based,bit_in_frame_0based,bit_in_pixel_transmission_order_0based,wire_bit_lsb0,rgb_component,component_bit_lsb0
1,1495679,-12,15.717303182,15.717303542,359.9999995884673,850.0000010513986,1210.000000639866,0,0,-1.5238112368206203,-1.5238112368197108,208,15.710916018,220,5279,23,0,B,0
1,1495680,-11,15.717304392,15.717304752,359.9999995884673,851.9999994405225,1211.9999990289898,0,0,-1.4435582290698221,-1.4435582290689126,208,15.710916018,221,5280,0,23,G,7
1,1495681,-10,15.717305604,15.717305962,357.99999942298655,852.0000012168794,1210.000000639866,0,0,0.6366931678057881,-1.3633069976758634,208,15.710916018,221,5281,1,22,G,6
1,1495682,-9,15.717306814,15.717307172,357.99999942298655,851.9999994405225,1209.999998863509,0,0,0.7169461755565862,-1.2830539899250653,208,15.710916018,221,5282,2,21,G,5
1,1495683,-8,15.717308024,15.717308382,358.0000011993434,851.9999994405225,1210.000000639866,0,0,0.7971974069496355,-1.2028009821742671,208,15.710916018,221,5283,3,20,G,4
1,1495684,-7,15.717309234,15.717309592,357.99999942298655,850.0000010513986,1208.0000004743852,0,0,0.8774504147004336,-1.1225497507803084,208,15.710916018,221,5284,4,19,G,3
1,1495685,-6,15.717310442,15.717310802,359.9999995884673,849.9999992750418,1209.999998863509,0,0,-1.0422967430295103,-1.0422967430295103,208,15.710916018,221,5285,5,18,G,2
1,1495686,-5,15.717311652,15.717312012,360.00000136482413,849.9999992750418,1210.000000639866,0,0,-0.9620455116355515,-0.9620437352787121,208,15.710916018,221,5286,6,17,G,1
1,1495687,-4,15.717312862,15.717313222,359.9999995884673,850.0000010513986,1210.000000639866,0,0,-0.8817925038847534,-0.8817925038847534,208,15.710916018,221,5287,7,16,G,0
1,1495688,-3,15.717314072,15.717314432,359.9999995884673,849.9999992750418,1209.999998863509,0,0,-0.8015394961339553,-0.8015394961339553,208,15.710916018,221,5288,8,15,R,7
1,1495689,-2,15.717315282,15.71731564,358.0000011993434,851.9999994405225,1210.000000639866,0,0,-0.7212882647399965,-2.721286653863899,208,15.710916018,221,5289,9,14,R,6
1,1495690,-1,15.717316492,15.717316852,359.9999995884673,850.0000010513986,1210.000000639866,0,0,-0.6410352569894258,-0.6410352569894258,208,15.710916018,221,5290,10,13,R,5
1,1495691,0,15.717317702,15.717318272,569.9999992003768,639.9999996631323,1209.999998863509,0,1,-0.5607822492385565,209.439217362671,208,15.710916018,221,5291,11,12,R,4
1,1495692,1,15.717318912,15.71731927,358.0000011993434,961.9999996601791,1320.0000008595225,0,0,-0.4805310178446689,-2.4805294069685715,208,15.710916018,221,5292,12,11,R,3
1,1495693,2,15.717320232,15.71732048,247.99999920332993,851.9999994405225,1099.9999986438525,0,0,109.59972220956297,-2.4002781755743854,208,15.710916018,221,5293,13,10,R,2
1,1495694,3,15.717321332,15.717321692,360.00000136482413,849.9999992750418,1210.000000639866,0,0,-0.32002677869968466,-0.32002500234284526,208,15.710916018,221,5294,14,9,R,1
1,1495695,4,15.717322542,15.717322902,359.9999995884673,850.0000010513986,1210.000000639866,0,0,-0.23977377094888652,-0.23977377094888652,208,15.710916018,221,5295,15,8,R,0
1,1495696,5,15.717323752,15.71732411,357.99999942298655,851.9999994405225,1209.999998863509,0,0,-0.1595207631980884,-2.1595209286788304,208,15.710916018,221,5296,16,7,B,7
1,1495697,6,15.717324962,15.71732532,358.0000011993434,851.9999994405225,1210.000000639866,0,0,-0.07926953180412966,-2.0792679209280323,208,15.710916018,221,5297,17,6,B,6
1,1495698,7,15.717326172,15.717326529999998,357.9999976466297,852.0000029932362,1210.000000639866,0,0,0.0009834759457589826,-1.9990184658900034,208,15.710916018,221,5298,18,5,B,5
1,1495699,8,15.717327382,15.71732774,357.99999942298655,851.9999994405225,1209.999998863509,0,0,0.08123648369655712,-1.9187636817832754,208,15.710916018,221,5299,19,4,B,4
1,1495700,9,15.717328592,15.71732895,358.0000011993434,851.9999994405225,1210.000000639866,0,0,0.16148771509142534,-1.8385106740324773,208,15.710916018,221,5300,20,3,B,3
1,1495701,10,15.717329802,15.71733016,357.99999942298655,850.0000010513986,1208.0000004743852,0,0,0.24174072284222348,-1.758259442637609,208,15.710916018,221,5301,21,2,B,2
1,1495702,11,15.71733101,15.71733137,359.9999995884673,849.9999992750418,1209.999998863509,0,0,-1.6780064348877204,-1.678006434886811,208,15.710916018,221,5302,22,1,B,1
1,1495703,12,15.71733222,15.71733258,360.00000136482413,851.9999994405225,1212.0000008053466,0,0,-1.5977552034928522,-1.5977534271360128,208,15.710916018,221,5303,23,0,B,0
1,1495704,13,15.717333432,15.71733379,357.99999942298655,850.0000010513986,1208.0000004743852,0,0,0.48249796973868797,-1.5175021957429635,208,15.710916018,222,5304,0,23,G,7
2,2582284,-12,27.09465591,27.094656268,358.0000011993434,851.9999994405225,1210.000000639866,0,0,0.1569626690543373,-1.8430339437127259,359,27.088988648,196,4684,4,19,G,3
2,2582285,-11,27.09465712,27.094657478,357.9999976466297,852.0000029932362,1210.000000639866,0,0,0.23629587089453707,-1.763704294586205,359,27.088988648,196,4685,5,18,G,2
2,2582286,-10,27.09465833,27.094658688,357.9999976466297,851.9999994405225,1209.9999970871522,0,0,0.31562907273473684,-1.6843710927460052,359,27.088988648,196,4686,6,17,G,1
2,2582287,-9,27.09465954,27.094659898,358.0000011993434,851.9999994405225,1210.000000639866,0,0,0.3949587218630768,-1.6050378909039864,359,27.088988648,196,4687,7,16,G,0
2,2582288,-8,27.09466075,27.09466111,360.00000136482413,849.9999992750418,1210.000000639866,0,0,0.47429192370327655,0.47429547641695535,359,27.088988648,196,4688,8,15,R,7
2,2582289,-7,27.09466196,27.09466232,360.00000136482413,849.9999992750418,1210.000000639866,0,0,0.5536251255434763,0.5536286782571551,359,27.088988648,196,4689,9,14,R,6
2,2582290,-6,27.09466317,27.094663528,358.0000011993434,849.9999992750418,1208.0000004743852,0,0,0.6329583273854951,-1.3670382853815681,359,27.088988648,196,4690,10,13,R,5
2,2582291,-5,27.094664378,27.094664738,359.99999781211045,850.0000028277555,1210.000000639866,0,0,-1.2877086362550472,-1.2877086362550472,359,27.088988648,196,4691,11,12,R,4
2,2582292,-4,27.094665588,27.094665948,359.99999781211045,849.9999992750418,1209.9999970871522,0,0,-1.208375434413938,-1.208375434413938,359,27.088988648,196,4692,12,11,R,3
2,2582293,-3,27.094666798,27.094667158,360.00000136482413,851.9999994405225,1212.0000008053466,0,0,-1.1290457852865075,-1.1290422325728287,359,27.088988648,196,4693,13,10,R,2
2,2582294,-2,27.09466801,27.094668368,358.0000011993434,849.9999992750418,1208.0000004743852,0,0,0.9502875820348891,-1.0497090307321741,359,27.088988648,196,4694,14,9,R,1
2,2582295,-1,27.094669218,27.094669578,360.00000136482413,849.9999992750418,1210.000000639866,0,0,-0.9703793816047437,-0.9703758288910649,359,27.088988648,196,4695,15,8,R,0
2,2582296,0,27.094670428,27.094670788,359.99999781211045,892.0000027501374,1252.0000005622478,0,0,-0.891046179763927,-0.8910461797639186,359,27.088988648,196,4696,16,7,B,7
2,2582297,1,27.09467168,27.094671998,317.99999788972855,851.9999994405225,1169.999997330251,0,0,41.18828694445892,-0.8117129779229799,359,27.088988648,196,4697,17,6,B,6
2,2582298,2,27.09467285,27.094673208,358.0000011993434,851.9999994405225,1210.000000639866,0,0,1.2676168366847378,-0.7323797760823254,359,27.088988648,196,4698,18,5,B,5
2,2582299,3,27.09467406,27.094674418,358.0000011993434,849.9999992750418,1208.0000004743852,0,0,1.3469500385253923,-0.6530465742416709,359,27.088988648,196,4699,19,4,B,4
2,2582300,4,27.094675268,27.094675626,358.0000011993434,851.9999994405225,1210.000000639866,0,0,-0.5737169251142404,-2.5737135378813036,359,27.088988648,196,4700,20,3,B,3
2,2582301,5,27.094676478,27.094676838,360.00000136482413,849.9999992750418,1210.000000639866,0,0,-0.4943837232731312,-0.4943801705594524,359,27.088988648,196,4701,21,2,B,2
2,2582302,6,27.094677688,27.094678048,359.99999781211045,850.0000028277555,1210.000000639866,0,0,-0.4150505214329314,-0.4150505214329314,359,27.088988648,196,4702,22,1,B,1
2,2582303,7,27.094678898,27.094679258,359.99999781211045,849.9999992750418,1209.9999970871522,0,0,-0.33571731959091267,-0.33571731959091267,359,27.088988648,196,4703,23,0,B,0
2,2582304,8,27.094680108,27.094680465999996,357.9999976466297,852.0000029932362,1210.000000639866,0,0,-0.2563876704643917,-2.2563878359451337,359,27.088988648,197,4704,0,23,G,7
2,2582305,9,27.094681318,27.094681676,358.0000011993434,851.9999994405225,1210.000000639866,0,0,-0.17705446862419194,-2.177051081391255,359,27.088988648,197,4705,1,22,G,6
2,2582306,10,27.094682528,27.094682886,358.0000011993434,851.9999994405225,1210.000000639866,0,0,-0.09772126678217319,-2.0977178795492364,359,27.088988648,197,4706,2,21,G,5
2,2582307,11,27.094683738,27.094684098,359.99999781211045,850.0000028277555,1210.000000639866,0,0,-0.018388064941973425,-0.018388064941973425,359,27.088988648,197,4707,3,20,G,4
2,2582308,12,27.094684948,27.094685306,357.9999976466297,850.0000028277555,1208.0000004743852,0,0,0.06094513689822634,-1.9390550285825157,359,27.088988648,197,4708,4,19,G,3
2,2582309,13,27.094686156,27.094686516,359.99999781211045,851.9999994405225,1211.999997252633,0,0,-1.859721826740497,-1.859721826740497,359,27.088988648,197,4709,5,18,G,2
